Date,Open,High,Low,Close,Volume,Market Cap
"Jan 22, 2017",0.119095,0.121045,0.116761,0.120592,"172,474","53,896,700"
"Jan 21, 2017",0.117508,0.121297,0.115924,0.119098,"218,193","53,178,500"
"Jan 20, 2017",0.120250,0.121309,0.115311,0.117511,"336,977","54,419,400"
"Jan 19, 2017",0.117880,0.124881,0.114191,0.120274,"588,611","53,346,900"
"Jan 18, 2017",0.116781,0.119216,0.113703,0.117404,"247,960","52,849,500"
"Jan 17, 2017",0.113470,0.117814,0.110678,0.117339,"763,702","51,351,100"
"Jan 16, 2017",0.105086,0.114644,0.101423,0.113423,"728,366","47,556,900"
"Jan 15, 2017",0.099907,0.114719,0.098208,0.107642,"1,390,800","45,213,300"
"Jan 14, 2017",0.089517,0.101788,0.089517,0.100085,"468,536","40,511,300"
"Jan 13, 2017",0.088362,0.089980,0.085637,0.088218,"113,852","39,988,300"
"Jan 12, 2017",0.082657,0.089942,0.080775,0.088416,"175,752","37,406,600"
"Jan 11, 2017",0.093690,0.094545,0.082223,0.082978,"487,105","42,399,500"
"Jan 10, 2017",0.094610,0.095905,0.092003,0.094392,"165,134","42,816,000"
"Jan 09, 2017",0.093993,0.097371,0.091124,0.094537,"172,490","42,536,700"
"Jan 08, 2017",0.091453,0.095845,0.089799,0.093853,"146,618","41,387,200"
"Jan 07, 2017",0.093005,0.093581,0.084887,0.092039,"181,165","42,089,600"
"Jan 06, 2017",0.102275,0.105249,0.091637,0.093065,"854,610","46,284,800"
"Jan 05, 2017",0.110689,0.113347,0.087456,0.102270,"813,352","50,092,600"
"Jan 04, 2017",0.098896,0.111324,0.098597,0.110239,"626,227","44,755,500"
"Jan 03, 2017",0.094331,0.100065,0.094107,0.099135,"427,715","42,689,900"
"Jan 02, 2017",0.096048,0.108229,0.093515,0.093515,"819,096","43,466,900"
"Jan 01, 2017",0.099332,0.101305,0.092663,0.096921,"457,685","44,952,900"
"Dec 31, 2016",0.102694,0.103112,0.096734,0.099326,"238,803","46,474,400"
"Dec 30, 2016",0.106458,0.106458,0.099964,0.102870,"233,197","48,177,800"
"Dec 29, 2016",0.103303,0.109027,0.099244,0.106080,"668,812","46,750,000"
"Dec 28, 2016",0.101189,0.105945,0.100107,0.103290,"167,453","45,793,300"
"Dec 27, 2016",0.105128,0.105628,0.099748,0.102192,"281,517","47,575,900"
"Dec 26, 2016",0.099150,0.105590,0.097489,0.105164,"306,672","44,870,500"
"Dec 25, 2016",0.104239,0.106252,0.093899,0.098811,"497,691","47,173,600"
"Dec 24, 2016",0.105349,0.107787,0.092954,0.104654,"774,122","47,675,900"
"Dec 23, 2016",0.101509,0.114570,0.101509,0.104382,"865,592","45,938,100"
"Dec 22, 2016",0.107024,0.113061,0.100126,0.102642,"1,324,950","48,434,000"
"Dec 21, 2016",0.094403,0.113272,0.093408,0.106660,"1,293,800","42,722,200"
"Dec 20, 2016",0.095730,0.106226,0.092175,0.092585,"764,008","43,322,900"
"Dec 19, 2016",0.094320,0.095932,0.090398,0.095731,"171,634","42,684,500"
"Dec 18, 2016",0.091230,0.096993,0.089109,0.094723,"281,624","41,286,400"
"Dec 17, 2016",0.093626,0.098531,0.089472,0.091367,"474,614","42,370,700"
"Dec 16, 2016",0.078492,0.094541,0.078492,0.093026,"734,201","35,521,900"
"Dec 15, 2016",0.077086,0.083466,0.077086,0.078260,"262,917","34,885,400"
"Dec 14, 2016",0.072510,0.078144,0.072368,0.077058,"186,914","32,814,800"
"Dec 13, 2016",0.068482,0.073940,0.068482,0.072692,"174,409","30,991,800"
"Dec 12, 2016",0.066188,0.071282,0.066080,0.068490,"235,090","29,953,500"
"Dec 11, 2016",0.065570,0.066516,0.065234,0.066168,"46,964","29,673,800"
"Dec 10, 2016",0.067274,0.067294,0.064301,0.065576,"73,953","30,445,100"
"Dec 09, 2016",0.064087,0.069271,0.063372,0.067259,"113,608","29,002,700"
"Dec 08, 2016",0.065631,0.067413,0.063706,0.064143,"77,453","29,701,500"
"Dec 07, 2016",0.061894,0.066937,0.061270,0.065288,"259,722","28,010,400"
"Dec 06, 2016",0.060868,0.062529,0.057885,0.061900,"152,206","27,546,100"
"Dec 05, 2016",0.061527,0.063493,0.059134,0.060864,"274,981","27,844,000"
"Dec 04, 2016",0.071011,0.071011,0.061232,0.061232,"332,654","32,136,100"
"Dec 03, 2016",0.065711,0.072897,0.065711,0.071006,"222,889","29,737,600"
"Dec 02, 2016",0.069638,0.070986,0.064808,0.065692,"106,504","31,514,800"
"Dec 01, 2016",0.070883,0.071764,0.067445,0.069545,"74,809","32,078,300"
"Nov 30, 2016",0.071801,0.072132,0.069741,0.070998,"70,042","32,493,600"
"Nov 29, 2016",0.071998,0.073431,0.069670,0.071512,"84,514","32,582,900"
"Nov 28, 2016",0.070262,0.072512,0.068899,0.072060,"54,910","31,797,200"
"Nov 27, 2016",0.070233,0.070709,0.068966,0.070258,"39,950","31,784,200"
"Nov 26, 2016",0.069426,0.070791,0.067758,0.070215,"81,324","31,419,100"
"Nov 25, 2016",0.072152,0.072676,0.068297,0.069428,"76,727","32,652,700"
"Nov 24, 2016",0.073261,0.078099,0.070149,0.071655,"112,018","33,154,500"
"Nov 23, 2016",0.072286,0.074951,0.071777,0.073617,"62,757","32,713,100"
"Nov 22, 2016",0.074074,0.076158,0.070326,0.072075,"145,940","33,522,200"
"Nov 21, 2016",0.070359,0.074643,0.068365,0.073602,"129,249","31,841,200"
"Nov 20, 2016",0.068812,0.072791,0.067115,0.070640,"175,204","31,140,900"
"Nov 19, 2016",0.068610,0.071775,0.068610,0.068804,"65,191","31,049,400"
"Nov 18, 2016",0.074301,0.074629,0.067542,0.068688,"158,616","33,625,200"
"Nov 17, 2016",0.074769,0.076162,0.071102,0.074344,"131,200","33,836,900"
"Nov 16, 2016",0.080495,0.081250,0.073652,0.075815,"213,064","36,428,000"
"Nov 15, 2016",0.079095,0.082477,0.078670,0.080786,"104,222","35,794,700"
"Nov 14, 2016",0.079749,0.082535,0.078462,0.079287,"84,266","36,090,700"
"Nov 13, 2016",0.076248,0.081120,0.076192,0.079997,"146,361","34,506,400"
"Nov 12, 2016",0.078066,0.080247,0.075247,0.076250,"150,864","35,329,200"
"Nov 11, 2016",0.077291,0.078227,0.075164,0.078227,"69,475","34,978,400"
"Nov 10, 2016",0.077326,0.080785,0.076343,0.077283,"91,102","34,993,900"
"Nov 09, 2016",0.080023,0.080891,0.076542,0.077220,"263,131","36,214,700"
"Nov 08, 2016",0.080693,0.083935,0.078262,0.080064,"171,298","36,517,900"
"Nov 07, 2016",0.077829,0.080787,0.076403,0.080579,"109,776","35,221,700"
"Nov 06, 2016",0.078272,0.078671,0.076076,0.078183,"67,263","35,422,200"
"Nov 05, 2016",0.077585,0.079578,0.076589,0.078276,"74,599","35,111,200"
"Nov 04, 2016",0.073087,0.079226,0.073087,0.077599,"179,912","33,075,500"
"Nov 03, 2016",0.073432,0.078845,0.071398,0.073118,"352,820","33,232,100"
"Nov 02, 2016",0.072831,0.075577,0.070638,0.073193,"188,414","32,959,800"
"Nov 01, 2016",0.071510,0.075871,0.069961,0.073146,"355,137","32,362,200"
"Oct 31, 2016",0.077733,0.082607,0.071203,0.072986,"387,093","35,178,400"
"Oct 30, 2016",0.074550,0.079780,0.072233,0.077667,"323,955","33,737,600"
"Oct 29, 2016",0.072691,0.078811,0.059836,0.074220,"1,283,670","32,896,400"
"Oct 28, 2016",0.082777,0.084695,0.067379,0.073310,"713,729","37,460,900"
"Oct 27, 2016",0.088915,0.089288,0.080619,0.082654,"439,658","40,238,800"
"Oct 26, 2016",0.089595,0.090680,0.087062,0.088408,"144,988","40,546,600"
"Oct 25, 2016",0.090168,0.090603,0.087148,0.089474,"144,896","40,805,700"
"Oct 24, 2016",0.088021,0.090916,0.086051,0.090193,"138,133","39,834,100"
"Oct 23, 2016",0.088667,0.088791,0.085773,0.088006,"112,827","40,126,500"
"Oct 22, 2016",0.087229,0.089104,0.085852,0.087985,"115,738","39,475,700"
"Oct 21, 2016",0.088566,0.088566,0.084490,0.087238,"195,916","40,080,700"
"Oct 20, 2016",0.090178,0.090691,0.087173,0.088589,"253,167","40,810,500"
"Oct 19, 2016",0.091815,0.094066,0.089786,0.090265,"286,044","41,551,100"
"Oct 18, 2016",0.093851,0.093855,0.088287,0.090953,"708,837","42,472,600"
"Oct 17, 2016",0.089293,0.096116,0.086992,0.093498,"692,185","40,409,600"
"Oct 16, 2016",0.088601,0.090916,0.087102,0.089262,"269,403","40,096,500"
"Oct 15, 2016",0.082039,0.092769,0.080041,0.088719,"942,923","37,126,900"
"Oct 14, 2016",0.082255,0.083444,0.080901,0.082030,"68,059","37,224,700"
"Oct 13, 2016",0.083079,0.084398,0.081090,0.082242,"76,705","37,597,600"
"Oct 12, 2016",0.083412,0.083412,0.079643,0.082590,"185,054","37,748,200"
"Oct 11, 2016",0.085356,0.086671,0.083371,0.083371,"133,360","38,628,200"
"Oct 10, 2016",0.085261,0.085629,0.083693,0.085325,"98,001","38,585,000"
"Oct 09, 2016",0.084542,0.085524,0.082974,0.085231,"101,146","38,259,900"
"Oct 08, 2016",0.083270,0.085240,0.082202,0.084889,"144,014","37,684,300"
"Oct 07, 2016",0.083142,0.085213,0.082711,0.083263,"96,382","37,626,200"
"Oct 06, 2016",0.082745,0.085599,0.082015,0.083140,"76,924","37,446,700"
"Oct 05, 2016",0.086327,0.086725,0.081637,0.083185,"172,398","39,067,700"
"Oct 04, 2016",0.084613,0.086848,0.083965,0.086322,"133,037","38,291,700"
"Oct 03, 2016",0.088682,0.091093,0.082707,0.084924,"154,112","40,133,300"
"Oct 02, 2016",0.089227,0.091107,0.087739,0.088853,"118,976","40,379,800"
"Oct 01, 2016",0.091619,0.093809,0.087463,0.089000,"366,913","41,462,500"
"Sep 30, 2016",0.084001,0.097186,0.082920,0.091615,"1,098,120","38,014,600"
"Sep 29, 2016",0.082554,0.086308,0.081864,0.083986,"115,600","37,360,000"
"Sep 28, 2016",0.081837,0.083627,0.081352,0.082563,"119,172","37,035,600"
"Sep 27, 2016",0.084655,0.085306,0.081750,0.081824,"164,423","38,310,600"
"Sep 26, 2016",0.085391,0.085779,0.082000,0.084668,"231,914","38,643,800"
"Sep 25, 2016",0.086626,0.087767,0.083407,0.085326,"163,852","39,202,700"
"Sep 24, 2016",0.085673,0.087024,0.084767,0.086298,"86,926","38,771,700"
"Sep 23, 2016",0.084688,0.087042,0.082516,0.085741,"128,825","38,325,700"
"Sep 22, 2016",0.086691,0.087087,0.084442,0.084537,"103,826","39,232,200"
"Sep 21, 2016",0.084712,0.088498,0.082194,0.086662,"283,959","38,336,500"
"Sep 20, 2016",0.091620,0.091621,0.083826,0.083826,"502,771","41,462,900"
"Sep 19, 2016",0.095120,0.095383,0.087655,0.091622,"215,638","43,047,000"
"Sep 18, 2016",0.092230,0.095441,0.090875,0.095202,"126,436","41,739,000"
"Sep 17, 2016",0.093225,0.093750,0.089544,0.092253,"189,400","42,189,300"
"Sep 16, 2016",0.096010,0.098668,0.090547,0.093172,"259,796","43,449,500"
"Sep 15, 2016",0.097569,0.101605,0.094804,0.096942,"267,782","44,155,100"
"Sep 14, 2016",0.098584,0.100401,0.096188,0.097745,"125,140","44,614,500"
"Sep 13, 2016",0.099839,0.102700,0.098013,0.098242,"229,380","45,182,300"
"Sep 12, 2016",0.101283,0.103682,0.095236,0.099498,"357,911","45,835,900"
"Sep 11, 2016",0.106886,0.107722,0.099644,0.101593,"288,524","48,371,500"
"Sep 10, 2016",0.097552,0.109366,0.097550,0.106867,"460,265","44,147,400"
